컴공-----------
GEG2026-001	 	스타트일본어	전체	3.0	교양선택	셀1(웹강의)	모세종	상대평가	일본언어문화,일-②
GEG3001-001	 	생활과 재테크	전체	3.0	교양선택	셀8(웹강의)	홍영복	상대평가	경영학,일-③
GEG3009-001	 	블루오션리더십	전체	3.0	교양선택	셀11(웹강의)	장인봉	상대평가	교양선택,일-③
GEG3042-001	 	창의력 개발	전체	3.0	교양선택	셀0(웹강의)	김은기	상대평가	생명공학,일-③
GEG3044-001	 	문화산업의 이해	전체	3.0	교양선택	셀8(웹강의)	백승국	상대평가	문화콘텐츠,일-③
GEG3045-001	 	미디어와 콘텐츠	전체	3.0	교양선택	셀8(웹강의)	김만수	상대평가	문화콘텐츠,일-③
GEG4002-001	 	건강한 체중조절을 위한 맞춤영양	전체	3.0	교양선택	셀8(웹강의)	장경자	상대평가	식품영양학,일-④
GEG4004-001	 	명화이야기	전체	3.0	교양선택	셀5(웹강의)	나애리	상대평가	교양선택,일-④
GEG4005-001	 	미술치료의 이해	전체	3.0	교양선택	셀11(웹강의)	영남대	상대평가	교양선택,일-④
MEG2076-002	 	선형대수	2	3.0	전공선택	셀0(웹강의)	양경수	상대평가	 
MEG3013-001	 	전산제도	3	3.0	전공선택	셀0(웹강의)	황병복	상대평가	선수,
MTH1001-043	 	일반수학1	1	3.0	교양필수	셀0(웹강의)	이익권	상대평가	 
MTH1001-044	 	일반수학1	1	3.0	교양필수	셀0(웹강의)	이종성	상대평가	 
PHY1001-040	 	물리학1	1	3.0	교양필수	셀0(웹강의)	차동우	상대평가	 

이상 E러닝---------------

대영-----------
GEB1106-001	 	Academic English 2	전체	2.0	교양필수	화1,2,목3(5남334)	맥납	상대평가	트랙2,
GEB1106-002	 	Academic English 2	전체	2.0	교양필수	월3,수1,2(5남334)	안토니	상대평가	트랙2,
GEB1106-003	 	Academic English 2	전체	2.0	교양필수	수5,6,금3(5남334)	안토니	상대평가	트랙2,
GEB1106-004	 	Academic English 2	전체	2.0	교양필수	화4,금5,6(5남334)	마콰르트	상대평가	트랙2,
GEB1106-005	 	Academic English 2	전체	2.0	교양필수	월1,2,수3(5남131)	엠버	상대평가	트랙3,
GEB1106-006	 	Academic English 2	전체	2.0	교양필수	수4,금1,2(5남131)	리차드	상대평가	트랙3,
GEB1106-007	 	Academic English 2	전체	2.0	교양필수	화5,6,금4(5남131)	데이비드고체	상대평가	트랙3,
GEB1105-001	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남433A)	스콧 쉐이퍼	상대평가	가군 트랙1,
GEB1105-002	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남538A)	레슬리	상대평가	가군 트랙1,
GEB1105-003	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남537)	스티브콘틱	상대평가	가군 트랙1,
GEB1105-004	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남432B)	크리스	상대평가	가군 트랙1,
GEB1105-005	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남433B)	데이비드고체	상대평가	가군 트랙1,
GEB1105-006	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남133)	제이김	상대평가	가군 트랙1,
GEB1105-007	 	Academic English 1	1	2.0	교양필수	화1,2,목3(5남237)	브래들리	상대평가	가군 트랙1,
